StoreID,ProductID,ProductName,CurrentStock,MinimumThreshold,MaximumCapacity,Category
Store_1010,Prod_004,Mainstays Metal Outdoor Patio Set,1,2,20,Home Goods
Store_1010,Prod_005,onn. 50-inch 4K UHD Smart TV,8,5,30,Electronics
Store_1010,Prod_006,Equate Allergy Relief Cetirizine,27,10,80,Pharmacy
Store_1010,Prod_007,Great Value Chocolate Chip Cookies,32,30,200,Grocery
Store_1010,Prod_008,HP 15.6-inch Laptop 8GB RAM,9,3,25,Electronics
Store_1010,Prod_009,Mainstays Bedding Set Queen,1,8,50,Home Goods
Store_1010,Prod_010,Athletic Works Men Running Shoes,14,12,60,Apparel
Store_1011,Prod_001,Great Value Organic Whole Milk,52,20,150,Grocery
Store_1011,Prod_002,Purified Bottled Water 40-Pack,118,50,400,Grocery
Store_1011,Prod_003,Equate Ibuprofen 200mg,8,15,100,Pharmacy
Store_1011,Prod_004,Mainstays Metal Outdoor Patio Set,1,2,20,Home Goods
Store_1011,Prod_005,onn. 50-inch 4K UHD Smart TV,13,5,30,Electronics
Store_1011,Prod_006,Equate Allergy Relief Cetirizine,44,10,80,Pharmacy
Store_1011,Prod_007,Great Value Chocolate Chip Cookies,41,30,200,Grocery
Store_1011,Prod_008,HP 15.6-inch Laptop 8GB RAM,20,3,25,Electronics
Store_1011,Prod_009,Mainstays Bedding Set Queen,3,8,50,Home Goods
Store_1011,Prod_010,Athletic Works Men Running Shoes,3,12,60,Apparel
Store_1012,Prod_001,Great Value Organic Whole Milk,79,20,150,Grocery
Store_1012,Prod_002,Purified Bottled Water 40-Pack,26,50,400,Grocery
Store_1012,Prod_003,Equate Ibuprofen 200mg,34,15,100,Pharmacy
Store_1012,Prod_004,Mainstays Metal Outdoor Patio Set,9,2,20,Home Goods
Store_1012,Prod_005,onn. 50-inch 4K UHD Smart TV,1,5,30,Electronics
Store_1012,Prod_006,Equate Allergy Relief Cetirizine,49,10,80,Pharmacy
Store_1012,Prod_007,Great Value Chocolate Chip Cookies,160,30,200,Grocery
Store_1012,Prod_008,HP 15.6-inch Laptop 8GB RAM,12,3,25,Electronics
Store_1012,Prod_009,Mainstays Bedding Set Queen,7,8,50,Home Goods
Store_1012,Prod_010,Athletic Works Men Running Shoes,22,12,60,Apparel
Store_1013,Prod_001,Great Value Organic Whole Milk,36,20,150,Grocery
Store_1013,Prod_002,Purified Bottled Water 40-Pack,379,50,400,Grocery
Store_1013,Prod_003,Equate Ibuprofen 200mg,16,15,100,Pharmacy
Store_1013,Prod_004,Mainstays Metal Outdoor Patio Set,1,2,20,Home Goods
Store_1013,Prod_005,onn. 50-inch 4K UHD Smart TV,28,5,30,Electronics
Store_1013,Prod_006,Equate Allergy Relief Cetirizine,70,10,80,Pharmacy
Store_1013,Prod_007,Great Value Chocolate Chip Cookies,129,30,200,Grocery
Store_1013,Prod_008,HP 15.6-inch Laptop 8GB RAM,6,3,25,Electronics
Store_1013,Prod_009,Mainstays Bedding Set Queen,45,8,50,Home Goods
Store_1013,Prod_010,Athletic Works Men Running Shoes,36,12,60,Apparel
Store_1014,Prod_001,Great Value Organic Whole Milk,136,20,150,Grocery
Store_1014,Prod_002,Purified Bottled Water 40-Pack,38,50,400,Grocery
Store_1014,Prod_003,Equate Ibuprofen 200mg,50,15,100,Pharmacy
Store_1014,Prod_004,Mainstays Metal Outdoor Patio Set,11,2,20,Home Goods
Store_1014,Prod_005,onn. 50-inch 4K UHD Smart TV,18,5,30,Electronics
Store_1014,Prod_006,Equate Allergy Relief Cetirizine,28,10,80,Pharmacy
Store_1014,Prod_007,Great Value Chocolate Chip Cookies,65,30,200,Grocery
Store_1014,Prod_008,HP 15.6-inch Laptop 8GB RAM,12,3,25,Electronics
Store_1014,Prod_009,Mainstays Bedding Set Queen,4,8,50,Home Goods
Store_1014,Prod_010,Athletic Works Men Running Shoes,5,12,60,Apparel
Store_1015,Prod_001,Great Value Organic Whole Milk,8,20,150,Grocery
Store_1015,Prod_002,Purified Bottled Water 40-Pack,336,50,400,Grocery
Store_1015,Prod_003,Equate Ibuprofen 200mg,63,15,100,Pharmacy
Store_1015,Prod_004,Mainstays Metal Outdoor Patio Set,1,2,20,Home Goods
Store_1015,Prod_005,onn. 50-inch 4K UHD Smart TV,12,5,30,Electronics
Store_1015,Prod_006,Equate Allergy Relief Cetirizine,40,10,80,Pharmacy
Store_1015,Prod_007,Great Value Chocolate Chip Cookies,167,30,200,Grocery
Store_1015,Prod_008,HP 15.6-inch Laptop 8GB RAM,5,3,25,Electronics
Store_1015,Prod_009,Mainstays Bedding Set Queen,9,8,50,Home Goods
Store_1015,Prod_010,Athletic Works Men Running Shoes,13,12,60,Apparel
Store_1016,Prod_001,Great Value Organic Whole Milk,16,20,150,Grocery
Store_1016,Prod_002,Purified Bottled Water 40-Pack,85,50,400,Grocery
Store_1016,Prod_003,Equate Ibuprofen 200mg,32,15,100,Pharmacy
Store_1016,Prod_004,Mainstays Metal Outdoor Patio Set,17,2,20,Home Goods
Store_1016,Prod_005,onn. 50-inch 4K UHD Smart TV,28,5,30,Electronics
Store_1016,Prod_006,Equate Allergy Relief Cetirizine,75,10,80,Pharmacy
Store_1016,Prod_007,Great Value Chocolate Chip Cookies,24,30,200,Grocery
Store_1016,Prod_008,HP 15.6-inch Laptop 8GB RAM,8,3,25,Electronics
Store_1016,Prod_009,Mainstays Bedding Set Queen,9,8,50,Home Goods
Store_1016,Prod_010,Athletic Works Men Running Shoes,5,12,60,Apparel
Store_1017,Prod_001,Great Value Organic Whole Milk,1,20,150,Grocery
Store_1017,Prod_002,Purified Bottled Water 40-Pack,178,50,400,Grocery
Store_1017,Prod_003,Equate Ibuprofen 200mg,57,15,100,Pharmacy
Store_1017,Prod_004,Mainstays Metal Outdoor Patio Set,17,2,20,Home Goods
Store_1017,Prod_005,onn. 50-inch 4K UHD Smart TV,29,5,30,Electronics
Store_1017,Prod_006,Equate Allergy Relief Cetirizine,6,10,80,Pharmacy
Store_1017,Prod_007,Great Value Chocolate Chip Cookies,57,30,200,Grocery
Store_1017,Prod_008,HP 15.6-inch Laptop 8GB RAM,13,3,25,Electronics
Store_1017,Prod_009,Mainstays Bedding Set Queen,9,8,50,Home Goods
Store_1017,Prod_010,Athletic Works Men Running Shoes,6,12,60,Apparel
Store_1018,Prod_001,Great Value Organic Whole Milk,62,20,150,Grocery
Store_1018,Prod_002,Purified Bottled Water 40-Pack,369,50,400,Grocery
Store_1018,Prod_003,Equate Ibuprofen 200mg,92,15,100,Pharmacy
Store_1018,Prod_004,Mainstays Metal Outdoor Patio Set,1,2,20,Home Goods
Store_1018,Prod_005,onn. 50-inch 4K UHD Smart TV,4,5,30,Electronics
Store_1018,Prod_006,Equate Allergy Relief Cetirizine,11,10,80,Pharmacy
Store_1018,Prod_007,Great Value Chocolate Chip Cookies,14,30,200,Grocery
Store_1018,Prod_008,HP 15.6-inch Laptop 8GB RAM,15,3,25,Electronics
Store_1018,Prod_009,Mainstays Bedding Set Queen,41,8,50,Home Goods
Store_1018,Prod_010,Athletic Works Men Running Shoes,7,12,60,Apparel
Store_1019,Prod_001,Great Value Organic Whole Milk,71,20,150,Grocery
Store_1019,Prod_002,Purified Bottled Water 40-Pack,113,50,400,Grocery
Store_1019,Prod_003,Equate Ibuprofen 200mg,96,15,100,Pharmacy
Store_1019,Prod_004,Mainstays Metal Outdoor Patio Set,1,2,20,Home Goods
Store_1019,Prod_005,onn. 50-inch 4K UHD Smart TV,29,5,30,Electronics
Store_1019,Prod_006,Equate Allergy Relief Cetirizine,47,10,80,Pharmacy
Store_1019,Prod_007,Great Value Chocolate Chip Cookies,83,30,200,Grocery
Store_1019,Prod_008,HP 15.6-inch Laptop 8GB RAM,15,3,25,Electronics
Store_1019,Prod_009,Mainstays Bedding Set Queen,12,8,50,Home Goods
Store_1019,Prod_010,Athletic Works Men Running Shoes,51,12,60,Apparel
Store_1020,Prod_001,Great Value Organic Whole Milk,75,20,150,Grocery
Store_1020,Prod_002,Purified Bottled Water 40-Pack,16,50,400,Grocery
Store_1020,Prod_003,Equate Ibuprofen 200mg,89,15,100,Pharmacy
Store_1020,Prod_004,Mainstays Metal Outdoor Patio Set,3,2,20,Home Goods
Store_1020,Prod_005,onn. 50-inch 4K UHD Smart TV,8,5,30,Electronics
Store_1020,Prod_006,Equate Allergy Relief Cetirizine,36,10,80,Pharmacy
Store_1020,Prod_007,Great Value Chocolate Chip Cookies,21,30,200,Grocery
Store_1020,Prod_008,HP 15.6-inch Laptop 8GB RAM,1,3,25,Electronics
Store_1020,Prod_009,Mainstays Bedding Set Queen,29,8,50,Home Goods
Store_1020,Prod_010,Athletic Works Men Running Shoes,10,12,60,Apparel
